time,input,output,dexa,dexb,dexc,token0,token1,token2 
1650770955952,5,4.8920205531385434,spooky,spooky,spooky,FTM,MIM,TOMB
1650770956278,5,4.865442904345205,spooky,spooky,spooky,FTM,TOMB,MIM
1650770956631,5,4.9438848021382755,spooky,spooky,spooky,FTM,TOMB,BOO
1650770957009,5,4.97187356950423,spooky,spooky,spooky,FTM,BOO,TOMB
1650770957336,5,4.967120855393222,spooky,spooky,spooky,FTM,ETH,WBTC
1650770957677,5,4.972348652074567,spooky,spooky,spooky,FTM,WBTC,ETH
1650770957990,5,4.971701999074227,spooky,spooky,spooky,FTM,ICE,ANY
1650770958312,5,4.948314753350186,spooky,spooky,spooky,FTM,ANY,ICE
1650770958621,5,4.862607209314006,spooky,spooky,spooky,MIM,FTM,TOMB
1650770958949,5,4.888603119357651,spooky,spooky,spooky,MIM,TOMB,FTM
1650770959259,5,4.893642948337118,spooky,spooky,spooky,TOMB,FTM,MIM
1650770959543,5,4.97201111083466,spooky,spooky,spooky,TOMB,FTM,BOO
1650770959858,5,4.866885235116946,spooky,spooky,spooky,TOMB,MIM,FTM
1650770960186,5,4.944162665997518,spooky,spooky,spooky,TOMB,BOO,FTM
1650770960474,5,4.943944495549573,spooky,spooky,spooky,BOO,FTM,TOMB
1650770960773,5,4.971693841292821,spooky,spooky,spooky,BOO,TOMB,FTM
1650770961122,5,4.972396580923854,spooky,spooky,spooky,ETH,FTM,WBTC
1650770961439,5,4.967240470260349,spooky,spooky,spooky,ETH,WBTC,FTM
1650770961815,5,4.9673636100000005,spooky,spooky,spooky,WBTC,FTM,ETH
1650770962138,5,4.97225877,spooky,spooky,spooky,WBTC,ETH,FTM
1650770962482,5,4.947798875716451,spooky,spooky,spooky,ICE,FTM,ANY
1650770962790,5,4.971140927811662,spooky,spooky,spooky,ICE,ANY,FTM
1650770963105,5,4.972529987333669,spooky,spooky,spooky,ANY,FTM,ICE
1650770963408,5,4.949100409549537,spooky,spooky,spooky,ANY,ICE,FTM
1650770963755,5,4.895836670660104,spooky,spooky,spooky,FTM,MIM,TOMB
1650770964093,5,4.863802389151036,spooky,spooky,spooky,FTM,TOMB,MIM
1650770964422,5,4.975568639316927,spooky,spooky,spooky,FTM,BOO,TOMB
1650770964715,5,4.9669375478344895,spooky,spooky,spooky,FTM,ETH,WBTC
1650770965025,5,4.971264511438347,spooky,spooky,spooky,FTM,WBTC,ETH
1650770965345,5,4.950615043276997,spooky,spooky,spooky,FTM,ICE,ANY
1650770965682,5,4.967467389365179,spooky,spooky,spooky,FTM,ANY,ICE
1650770965976,5,4.823806821285659,spooky,spooky,spooky,DAI,FTM,MIM
1650770966286,5,4.849985873956932,spooky,spooky,spooky,DAI,FTM,SPIRIT
1650770966643,5,4.937704754550925,spooky,spooky,spooky,LQDR,FTM,MIM
1650770966962,5,4.88309139605317,spooky,spooky,spooky,LQDR,FTM,SPIRIT
1650770967273,5,4.861242647741781,spooky,spooky,spooky,MIM,FTM,DAI
1650770967637,5,4.87846361190494,spooky,spooky,spooky,MIM,FTM,LQDR
1650770967958,5,4.880532101739409,spooky,spooky,spooky,MIM,TOMB,FTM
1650770968286,5,4.831655566350401,spooky,spooky,spooky,TOMB,MIM,FTM
1650770968615,5,4.9082022652159605,spooky,spooky,spooky,TOMB,BOO,FTM
1650770968943,5,4.8133095665590595,spooky,spooky,spooky,SPIRIT,FTM,DAI
1650770969279,5,4.797449742013809,spooky,spooky,spooky,SPIRIT,FTM,LQDR
1650770969606,5,4.958363272760394,spooky,spooky,spooky,ETH,WBTC,FTM
1650770969953,5,4.96246845,spooky,spooky,spooky,WBTC,ETH,FTM
1650770970254,5,4.942041065371169,spooky,spooky,spooky,ICE,ANY,FTM
1650770970559,5,4.959227886440757,spooky,spooky,spooky,ANY,ICE,FTM
1650770970871,5,4.937721665002205,spooky,spooky,spooky,FTM,ETH,WBTC
1650770971197,5,4.9677451486188025,spooky,spooky,spooky,FTM,WBTC,ETH
1650770971541,5,4.9368752339071555,spooky,spooky,spooky,FTM,ANY,ICE
