time,input,output,dexa,dexb,dexc,token0,token1,token2 
1650243345821,5,4.771977251242536,spooky,spooky,spooky,LQDR,FTM,SPIRIT
1650243346176,5,4.890303167593284,spooky,spooky,spooky,SPIRIT,FTM,LQDR
1650243346546,5,4.891732801686015,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650243346880,5,4.773438541130972,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650243347192,5,4.977712291283595,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650243347576,5,4.7926053138668525,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650243347887,5,4.94214331332709,spooky,spirit,spirit,LQDR,FTM,SPIRIT
1650243348262,5,4.861119953866048,spooky,spirit,spirit,SPIRIT,FTM,LQDR
1650243348532,5,4.980531266768538,spooky,spirit,spirit,FTM,LQDR,SPIRIT
1650243348855,5,4.795788254908248,spooky,spirit,spirit,FTM,SPIRIT,LQDR
1650243349148,5,4.886773638826951,spooky,solid,solid,LQDR,FTM,SPIRIT
1650243349450,5,4.886073682414685,spooky,solid,solid,SPIRIT,FTM,LQDR
1650243349787,5,4.889692849932563,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650243350123,5,4.773332165172222,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650243350427,5,4.790623459656715,spirit,spooky,spooky,LQDR,FTM,SPIRIT
1650243350733,5,4.860512808504818,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650243351071,5,4.97771080732385,spirit,spooky,spooky,SPIRIT,FTM,LQDR
1650243351372,5,4.942143992142157,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650243351671,5,4.885463802917413,spirit,spooky,spooky,LQDR,SPIRIT,FTM
1650243351932,5,4.887199121578993,spirit,spooky,spooky,SPIRIT,LQDR,FTM
1650243352232,5,4.863319989105273,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650243352528,5,4.942146513199365,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650243352846,5,4.977709245496048,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650243353117,5,4.791988798686552,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650243353427,5,4.94800813204295,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650243353695,5,4.961992998032525,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650243354009,5,4.961990803253744,spirit,spirit,spirit,LQDR,FTM,SPIRIT
1650243354295,5,4.948005164618211,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650243354631,5,4.948007195405459,spirit,spirit,spirit,SPIRIT,FTM,LQDR
1650243354952,5,4.961991290078729,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650243355286,5,4.951052459056134,spirit,spirit,spirit,FTM,LQDR,SPIRIT
1650243355599,5,4.965286295972717,spirit,spirit,spirit,FTM,SPIRIT,LQDR
1650243355927,5,4.973404162822314,spirit,spirit,spirit,LQDR,SPIRIT,FTM
1650243356255,5,4.906664916712882,spirit,spirit,spirit,SPIRIT,LQDR,FTM
1650243356541,5,4.979894014032009,spirit,solid,solid,LQDR,SPIRIT,FTM
1650243356878,5,4.795083402385608,spirit,solid,solid,SPIRIT,LQDR,FTM
1650243357212,5,4.906236231567411,spirit,solid,solid,LQDR,FTM,SPIRIT
1650243357573,5,4.95017692584025,spirit,solid,solid,LQDR,SPIRIT,FTM
1650243357922,5,4.973405815603038,spirit,solid,solid,SPIRIT,FTM,LQDR
1650243358222,5,4.9652838017453504,spirit,solid,solid,SPIRIT,LQDR,FTM
1650243358582,5,4.975587044019038,spirit,solid,solid,LQDR,SPIRIT,FTM
1650243358856,5,4.909894016629676,spirit,solid,solid,SPIRIT,LQDR,FTM
1650243359177,5,4.793715579643596,solid,spooky,spooky,LQDR,FTM,SPIRIT
1650243359483,5,4.98008428043492,solid,spooky,spooky,SPIRIT,FTM,LQDR
1650243359823,5,4.887615480805038,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650243360154,5,4.887234349220824,solid,spirit,spirit,FTM,SPIRIT,LQDR
1650243360462,5,4.973407144591298,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650243360754,5,4.906859579722085,solid,spirit,spirit,FTM,SPIRIT,LQDR
1650243361070,5,4.965282547822336,solid,spirit,spirit,LQDR,FTM,SPIRIT
1650243361395,5,4.950366538181952,solid,spirit,spirit,SPIRIT,FTM,LQDR
1650243361694,5,4.976259065839378,solid,spirit,spirit,FTM,LQDR,SPIRIT
1650243361960,5,4.910116974007315,solid,spirit,spirit,FTM,SPIRIT,LQDR
1650243362298,5,4.909464015528688,solid,solid,solid,LQDR,FTM,SPIRIT
1650243362595,5,4.975777238448235,solid,solid,solid,SPIRIT,FTM,LQDR
